Colombia2	327386.282	47.662	640.122	13430.453	0.012580198	0.192562727	0.032478672
Venezuela2	45.1205	30.206	542.199	17949.871	0.017871694	0.244794545	0.021859196
Peru2	263.8488	30.809	373.519	12123.661	0.015975986	0.193830909	0.05742722
Paraguay2	17780.1941	6.657	58.682	8814.723	0.017904787	0.16177	0.012838687
Uruguay2	422.9575	3.404	71.422	20980.515	0.00179539	0.171932727	0.011098965
Ecuador2	44.5485	16.027	181.74	11339.302	0.01757258	0.219909091	0.024831605
DominicanRepublic2	1205.8701	9.883	138.692	14032.674	0.012837748	0.256743636	0.030165697
Bolivia2	25.1164	10.562	70.371	6662.724	0.017931941	0.154147273	0.018036367
SouthAfrica2	2248.8047	54.059	709.213	13119.242	0.01285097	0.185759091	0.032381876
Kenya2	2348.7797	43	133.201	3097.701	0.027845103	0.182598182	0.011722097
Tanzania2	21719.4141	46.744	128.325	2745.263	0.026904603	0.206633636	0.045094736
Nigeria2	33349.8315	173.938	1054.309	6061.421	0.027520277	0.170103636	0.050432125
Ethiopia2	456.1633	88.347	145.407	1645.869	0.028075934	0.217129091	0.072521703
Sudan2	18.8009	37.289	159.298	4271.94	0.025040071	0.193841818	0.017486473
Angola2	715.9633	25.789	177.524	6883.721	0.029999905	0.333426364	0.137242461
RepublicofCongo2	1002.4367	4.274	28.395	6643.371	0.025011397	0.249261818	0.017624488
DemocraticRepublicoftheCongo2	5424.4649	79.301	58.009	731.505	0.029087696	0.104845455	0.011471281
Cameroon2	8941.8537	22.544	68.022	3017.32	0.02800028	0.207130909	-0.000319487
UnitedStates3	15720.78	319.13	17393.10	54501.59	0.007948617	0.19511125	0.008327351
Canada3	1704.70	35.50	1599.07	45048.59	0.010981356	0.24172625	0.005528049
Mexico3	16330.38	119.71	2153.32	17987.34	0.011197275	0.23069625	0.011189515
UnitedKingdom3	1808.24	64.60	2614.52	40474.24	0.00732804	0.16361625	0.009562388
Ireland3	219.68	4.61	238.99	51846.96	0.004930229	0.21681375	0.037269634
Germany3	2710.43	81.20	3763.23	46346.59	0.003422193	0.19629875	0.010506439
Belgium3	402.39	11.20	482.95	43105.22	0.006	0.23330875	-0.003004481
Netherlands3	647.93	16.87	815.62	48361.59	0.004099791	0.19638375	0.002383451
Switzerland3	638.02	8.14	474.13	58246.44	0.011203519	0.23800625	0.002038901
Luxembourg3	43.53	0.55	52.86	96163.11	0.022446595	0.18557	-0.000776713
Austria3	307.74	8.54	397.32	46503.56	0.006932885	0.2382625	-0.003648742
Denmark3	1874.78	5.63	253.53	45053.89	0.005298969	0.1979925	-0.002996607
Sweden3	4063.84	9.75	450.87	46255.62	0.010062837	0.237415	0.003775036
Finland3	188.69	5.45	222.08	40738.61	0.004094975	0.21915	-0.008508395
Norway3	3010.62	5.16	347.69	67428.54	0.011096601	0.27430125	-0.006965952
Iceland3	1221.48	0.33	14.45	43912.87	0.008396837	0.17578625	0.008680009
France3	2061.47	63.98	2604.31	40703.67	0.004597866	0.2274625	-0.00427315
Italy3	1574.58	60.78	2135.95	35140.73	0.00237714	0.18095125	-0.01158184
Spain3	1071.44	46.46	1551.29	33393.22	-9.4385E-05	0.20704625	-0.001014982
Portugal3	173.56	10.40	283.12	27220.32	-0.003145213	0.16616375	0.001985018
Greece3	198.61	10.93	284.17	26006.23	-0.00373249	0.12578125	-0.038014982
Cyprus3	16.10	0.86	27.39	31921.56	0.008524235	0.16084625	-0.018206678
Israel3	1092.11	8.21	275.32	33526.15	0.01916341	0.201535	0.016318222
Poland3	1587.21	38.02	961.31	25285.73	-0.000535274	0.20513875	0.029272674
Hungary3	23526.24	9.88	248.90	25199.78	-0.002844427	0.21015625	0.014447319
CzechRepublic3	4141.50	10.51	319.92	30432.45	0.001822686	0.26431	0.008654626
SlovakRepublic3	72.74	5.42	154.07	28446.76	0.001133545	0.22823125	0.017590683
Latvia3	20.28	2.00	47.15	23558.98	-0.012874749	0.2261625	0.019801216
Estonia3	16.67	1.32	36.83	27991.26	-0.002	0.25503625	0.016624932
Lithuania3	31.70	2.93	80.36	27405.56	-0.014027261	0.1910775	0.023425565
Albania3	714.03	2.89	31.44	10865.59	-0.002237388	0.27610625	0.019051554
Serbia3	3129.61	7.13	95.95	13453.67	-0.005057197	0.18917875	-0.00336818
Slovenia3	36.72	2.06	61.67	29922.31	0.002076383	0.1988675	0.001118767
Croatia3	328.26	4.24	88.85	20964.77	-0.008130081	0.19868625	-0.001881233
Bulgaria3	78.59	7.20	131.76	18294.72	-0.008564795	0.21245875	0.026624695
Romania3	581.81	19.95	395.50	19827.00	-0.004952921	0.25781625	0.025840638
Turkey3	1350.09	77.32	1518.40	19636.78	0.013551691	0.29110625	0.04352936
Russia3	84348.08	143.43	3827.88	26688.24	0.000781441	0.23087875	-0.00516677
Ukraine3	1066.59	42.76	373.41	8732.65	-0.009765912	0.194015	-0.036679229
Belarus3	76.31	9.47	173.21	18294.35	-0.000830135	0.3340975	-0.006136597
Kazakhstan3	16731.25	17.42	448.13	25722.26	0.014585406	0.26128875	0.014701353
Georgia3	12.99	3.73	34.35	9210.16	-0.00980588	0.28298875	0.039584041
Moldova3	10.72	3.56	17.84	5013.32	-0.000597488	0.2308325	0.036461447
Armenia3	3108.70	2.99	24.39	8169.98	0.000881116	0.22743	0.008456319
Azerbaijan3	27.71	9.34	166.15	17785.19	0.012085526	0.23507125	-0.020353541
Uzbekistan3	916.57	30.60	172.52	5637.28	0.020181358	0.26929875	0.059119518
Tajikistan3	0.20	8.30	22.43	2701.86	0.020193592	0.18747	0.044116257
Turkmenistan3	79.94	5.31	82.48	15521.91	0.016532981	0.26929875	0.063899301
KyrgyzRepublic3	144.85	5.90	19.40	3290.70	0.018281671	0.32139	0.011178302
India3	100557.02	1275.92	7356.73	5765.82	0.013386168	0.3456975	0.052410388
Pakistan3	9938.60	186.19	885.87	4757.87	0.020136026	0.15204	0.015190714
SriLanka3	7774.65	20.96	211.05	10067.25	0.005790628	0.3251475	0.047454518
Nepal3	701.47	28.18	67.61	2399.77	0.011648768	0.3806575	0.017594062
IslamicRepublicofIran3	6196210.84	78.47	1358.80	17316.08	0.013403661	0.3838725	-0.014944045
Bangladesh3	7663.24	158.22	537.29	3395.91	0.011007684	0.28848625	0.049527794
Myanmar3	49595.51	51.42	262.62	5107.41	0.008152775	0.200905	0.036015781
Egypt3	1734.47	86.80	997.34	11490.07	0.026461357	0.15854	0.010569889
Algeria3	6597.10	39.11	552.99	14137.94	0.020661626	0.46276375	-0.002891535
Morocco3	835.30	33.18	259.45	7819.59	0.011577074	0.33738375	0.017576023
Tunisia3	52.15	11.00	124.87	11354.46	0.012381027	0.23155625	-0.003704687
SaudiArabia3	2315.72	30.77	1614.39	52465.67	0.024577988	0.292555	0.007151057
UnitedArabEmirates3	1237.07	9.30	612.83	65882.96	0.026887007	0.23162375	-0.00179532
Qatar3	699.59	2.24	307.02	137340.66	0.066098414	0.23162375	-0.021672042
